no	item	auxiliary 	catenative	PROCESS.material	PROCESS.behavioural	PROCESS.mental	PROCESS.verbal	PROCESS.relational	PROCESS.existential
1	add	null	null	" join to thing else; put together to calculate total value"	null	null	 say as a further remark	null	null
2	admit	null	 [projection: proposition: locution]	 allow (him, her, them, us) to enter a place	null	 accept as valid	" confess to be true or to be the case, typically reluctantly; acknowledge"	null	null
3	agree	null	 [projection: proposal: consenting]	null	null	 have the same opinion	 concur	with be consistent with	null
4	allow	null	 [modulation: agency and causative]	" permit him, her, them, us to have a, an, the, this, that, those, these; set aside a, an, the, this, that, those, these for a specific purpose"	null	null	 concede	 admit as legal	null
5	anticipate	null	 [projection: proposal: intention]	null	null	" expect, predict; look forward to"	null	 be a forerunner or precursor of	null
6	appear	null	 [reality-phase: apparent]	" come into sight; become visible or noticeable, typically without visible agent or apparent cause"	null	null	null	" seem; give the impression of being"	" come into sight; become visible or noticeable, typically without visible agent or apparent cause"
7	ask	null	 [projection: proposal: demanding]	null	null	null	" say to get an answer; request"	null	null
8	aspire	null	 [projection: proposal: expectations]	null	null	 direct hopes or ambitions towards	null	null	null
9	assure	null	null	 cover (a person) with life insurance	null	null	 tell him, her, them, us a, an, the, this, that, those, these positively or confidently to dispel any doubts they may have	 make (a, an, the, this, that, those, these) certain to happen	null
10	attempt	null	 [conation: conative] make an effort to achieve or complete (a, an, the, this, that, those, these, typically a difficult task or action)	" make an effort to achieve or complete (a, an, the, this, that, those, these, typically a difficult task or action) ; try to climb"	null	null	null	null	null
11	avoid	null	 [conation: conative]	" try not to meet; not go through; prevent"	null	null	null	null	null
12	be	" [tense: secondary present be v-ing]

 [voice: passive be v-en]"	null	null	null	null	 like say	" having the state, quality, identity, nature, role, etc., specified; occur, take place"	 exist, present
13	become	null	null	null	null	null	null	" begin to be; suit, look good on; be appropriate or suitable to"	null
14	begin	null	 [time-phase: inceptive]	" start; perform or undergo the first part of (an action or activity); originate"	null	null	 start speaking by saying	null	null
15	begin by	null	 [modulation: time] do first	null	null	null	null	null	null
16	believe	null	null	null	null	" accept thing as true; feel sure of the truth of; hold (thing) as an opinion; think or suppose; feel sure that (him, her, them, us) is capable of a particular action"	null	 [assignment: projection]	null
17	break	null	null	break	null	 (him, her, them, us, our heart)	null	null	null
18	break in	null	null	 force entry to a building	null	null	 interrupt	null	null
19	cause	null	 make (a, an, the, this, that, those, these bad) happen	 make (a, an, the, this, that, those, these bad) happen	null	null	null	 make (a, an, the, this, that, those, these bad) happen	null
20	cease	null	 [time-phase: inceptive] come to an end, stop	 bring or come to an	null	null	null	null	null
21	choose	null	 [projection: proposal: intention]  decide on a course of action, typically after rejecting alternatives	 pick out or select (him, her, them, us or a, an, the, this, that, those, these) as being the best or most appropriate of alternatives	null	null	null	null	null
22	circle	null	null	" move all the way around, especially more than once; draw a line around"	null	null	null	 be around, form a ring around	null
23	claim	null	 [projection: proposition: claiming]	 make a demand for (money) under the terms of an insurance policy	null	null	 state or assert that  is the case, typically without providing evidence or proof	 cause the loss of	null
24	come	null	 [modulation: concession] do contrary to expectation	" move toward the speaker; occur, happen"	null	 occur to	null	" become; be available; extend to; be in a certain position"	 appear
25	consent	null	 [projection: proposal: consenting]	null	null	null	 give permission for a, an, the, this, that, those, these to happen	null	null
26	consider	null	 [projection: proposal: intention] think about and be drawn towards (a course of action)	 look attentively at	 look attentively at	 believe, think that, ponder on over	null	 regard	null
27	contain	null	null	" control or restrain (oneself or a feeling); prevent (a severe problem) from increasing in extent or intensity"	null	null	null	 have or hold (him, her, them, us or a, an, the, this, that, those, these) within	null
28	continue	null	 [time-phase: durative] persist in an activity or process	" persist in an activity or process; carry on with (that one has begun; carry on traveling in the same direction; recommence or resume after interruption"	null	null	 carry on speaking after a pause or interruption	null	null
29	contrive	null	 [conation: conative]	 create	null	null	null	null	null
30	create	null	null	 bring into existence	null	null	null	" invest (him, her, them, us) with a new rank or title; cause  to happen as a result of ones actions"	null
31	cross	null	null	" go or extend across or to the other side of (a path, road, stretch of water, or area); pass in an opposite or different direction; intersect; cause (two things) to intersect; draw a line or lines across; mark with a cross; cause (an animal of one species, breed, or variety) to interbreed with one of another species, breed, or variety"	null	" anger; oppose or stand in the way of (him, her, them, us)"	null	" be across; pass in an opposite or different direction; intersect"	null
32	decide	null	" [projection: proposal: intention] come to a resolution as a result of consideration

 [projection: proposal: intention and causative]"	  make a choice from a number of alternatives	null	"come to a resolution as a result of consideration; come to a decision about (thing)

 cause (him, her, them, us) to come to a resolution"	null	null	null
33	decline	null	 [projection: proposal: consenting (negative)]	"politely refuse; move downward; become smaller"	null	null	null	null	null
34	demand	null	 [projection: proposal: demanding]	null	null	" ask authoritatively or brusquely; insist on having"	null	 require, need	null
35	demonstrate	null	 take part in a public demonstration	null	null	null	" give a practical exhibition and explanation of (how a machine, skill, or craft works or is performed); show or express (a feeling or quality) by  actions"	 clearly show the existence or truth of (thing) by giving proof or	null
36	desire	null	 [projection: proposal: desideration]	null	null	 strongly wish for, want	null	null	null
37	determine	null	null	null	null	 ascertain or establish exactly, typically as a result of research or calculation	null	" cause (thing) to occur in a particular way; be the decisive factor in"	null
38	develop	null	null	" grow or cause to grow; start to exist; treat (a photographic film) with chemicals to make a visible image"	null	null	null	null	null
39	do	" [auxiliary]; note also: substitute verb do"	null	do	null	null	null	 be suitable or acceptable	null
40	drip	null	null	" let fall or be so wet as to shed small drops of liquid; cause or allow (a liquid) to shed small drops; display a copious amount or degree of a particular quality or thing"	null	null	null	 be bad	null
41	elect	null	 [projection: proposal: idea: intention] opt for or choose to do thing	 choose (him, her, them, us) to hold public office or some other position by voting	null	null	null	 [assignment]	null
42	elude	null	null	" evade, escape from; fail to be attained by"	null	 fail to be understood or remembered	null	null	null
43	enable	null	 [potentiality: potential and causative]	 make operational	null	null	null	" make possible; cause"	null
44	encourage	null	 [conation: conative and causative]	 help develop	null	 give confidence	null	 cause	null
45	end up	null	 [modulation: time] do last	null	null	null	null	null	null
46	end up by	null	 [modulation: time] do last	null	null	null	null	null	null
47	ensue	null	null	null	null	null	null	 happen or occur afterward or as a result	 happen or occur afterward or as a result
48	erupt	null	null	" (of a volcano) become active and eject lava, ash, and gases; be ejected from an active volcano; (of an object) explode with fire and noise resembling an active volcano"	 give vent to anger, enthusiasm, amusement, or other feelings in a sudden and noisy way	null	null	null	 (of an object) explode with fire and noise resembling an active volcano
49	escape	null	null	" break free; elude; avoid; leak"	null	" fail to be noticed by; fail to be remembered by"	null	null	null
50	exceed	null	null	" become greater in number or size than (a quantity, number, or other measurable thing); go beyond what is allowed or stipulated by (a set limit, especially of  authority); surpass"	null	null	null	 be more than, be greater in number or size than (a quantity, number, or other measurable thing)	null
51	exist	null	null	 live, especially under adverse conditions	null	null	null	null	 have objective reality or being
52	expect	null	 [projection: proposal: expectation]	null	null	" regard as likely to happen; believe that him, her, them, us or thing will arrive soon; think, suppose"	null	null	null
53	fail	null	 [conation: reussive]	" break down; not succeed"	null	null	null	null	null
54	fear	null	 [projection: proposal: fearing] avoid or put off doing thing because one is afraid	null	null	 be afraid, be afraid of (him, her, them, us or thing) as likely to be dangerous, painful, or threatening	null	null	null
